encoded_action,rate,MM,encoded_orientation,encoded_shape,vol,encoded_color,mag,unit_x,unit_y,unit_z
1,0.1,1.3333333333333335,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,1.0,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
1,0.1,0.5,1,2,0.0911,1,0.9,0.5,-0.111,-0.859
3,7.0,0.0,2,1,0.0202,1,0.895,0.503,-0.112,-0.857
3,7.0,0.0,1,1,0.0202,1,0.895,0.503,-0.112,-0.857
4,3.0,0.4,2,1,3.2511,2,0.96,0.469,-0.104,-0.877
4,76.5,0.4,2,1,3.2511,2,0.96,0.469,-0.104,-0.877
4,150.0,0.4,2,1,3.2511,2,0.96,0.469,-0.104,-0.877
3,7.0,0.0,1,2,0.1554,3,0.052,-0.105,0.076,0.992
3,7.0,0.0,2,2,0.1554,3,0.035,-0.013,0.206,0.979
1,0.1,0.5,1,1,1.5183,3,2.502,0.526,-0.783,0.332
1,0.1,1.75,1,1,1.5183,3,3.217,0.655,-0.716,0.243
1,0.1,3.0,1,1,1.5183,3,3.104,0.732,-0.633,0.252
3,7.0,0.0,1,1,1.8901,3,0.021,0.0,-0.992,-0.129
3,7.0,0.0,2,1,1.8901,3,0.021,0.0,-0.992,-0.124
4,3.0,0.4,2,1,0.1971,1,0.911,0.494,-0.11,-0.863
4,76.5,0.4,2,1,0.1971,1,0.911,0.494,-0.11,-0.863
4,150.0,0.4,2,1,0.1971,1,0.911,0.494,-0.11,-0.863
1,0.1,0.5,1,1,1.4001,3,0.94,0.479,-0.106,-0.872
1,0.1,1.75,1,1,1.4001,3,0.94,0.479,-0.106,-0.872
1,0.1,3.0,1,1,1.4001,3,0.94,0.479,-0.106,-0.872
